After running magCalSliders.py

bias = [280, -5, -120]
scale = [1.0, 1.0, 1.0]

MPU set up:
	Accelerometer: 0x0 16384.0
	Gyroscope: 0x0 131.0

MAG set up:
	Magnetometer: 0x16 1.499

Magnetometer calibration. Wave and rotate device in a figure eight until notified.

62,-2,-48
68,-16,-60
71,-7,-59
70,-11,-57
80,-4,-58
71,-23,-65
65,-39,-77
77,-31,-77
81,-33,-77
78,-44,-82
85,-53,-93
86,-52,-96
79,-45,-83
78,-59,-95
83,-63,-98
79,-37,-91
90,-42,-80
84,-56,-94
96,-52,-94
104,-54,-119
97,-55,-123
97,-63,-125
88,-56,-142
92,-58,-150
98,-64,-160
99,-55,-161
106,-68,-176
112,-64,-180
101,-65,-181
96,-72,-166
108,-90,-178
115,-127,-167
114,-138,-158
119,-149,-147
115,-153,-139
120,-152,-126
120,-158,-110
100,-136,-102
92,-122,-100
84,-120,-83
78,-104,-74
70,-86,-68
66,-60,-64
63,-29,-55
69,-13,-45
66,2,-54
59,23,-59
67,35,-51
77,69,-35
78,88,-62
80,92,-108
76,90,-116
66,72,-130
82,88,-124
75,93,-123
78,80,-122
71,81,-121
81,93,-105
79,81,-101
78,69,-89
78,70,-76
71,63,-63
83,55,-45
75,65,-49
91,61,-31
85,55,-51
82,58,-52
82,36,-50
77,43,-55
72,29,-71
65,15,-54
70,-6,-60
70,-64,-94
78,-72,-80
75,-75,-55
100,-98,-66
104,-102,-62
102,-114,-72
103,-125,-91
111,-132,-114
110,-116,-118
110,-126,-146
118,-138,-162
129,-137,-157
125,-133,-191
130,-126,-190
131,-121,-199
129,-133,-199
122,-110,-204
106,-96,-204
97,-101,-201
97,-101,-198
106,-118,-200
112,-128,-184
115,-129,-195
123,-135,-199
106,-146,-198
87,-131,-201
90,-124,-194
74,-124,-182
61,-111,-171
61,-95,-189
51,-97,-171
51,-97,-171
45,-89,-177
49,-95,-161
51,-87,-119
68,-90,-96
62,-78,-82
80,-82,-58
74,-80,-60
72,-60,-54
60,-40,-50
62,-20,-68
56,10,-80
58,8,-96
52,14,-114
55,21,-133
61,43,-157
58,42,-151
70,56,-158
71,63,-153
71,79,-149
76,82,-132
74,86,-132
78,86,-116
76,94,-112
84,98,-102
81,101,-109
77,85,-109
72,78,-110
75,73,-111
73,65,-107
85,75,-113
79,69,-115
68,66,-118
69,61,-99
72,56,-84
77,51,-71
77,39,-55
71,41,-65
72,32,-62
69,13,-79
63,-1,-99
57,-27,-125
76,-40,-116
79,-51,-95
73,-75,-95
61,-51,-79
58,-40,-84
66,-64,-102
78,-88,-94
67,-95,-113
97,-103,-143
99,-115,-159
106,-114,-160
106,-116,-166
117,-111,-175
120,-124,-196
121,-127,-203
130,-132,-202
137,-137,-205
133,-133,-205
140,-140,-198
135,-153,-197
125,-153,-175
128,-166,-154
117,-167,-159
102,-154,-148
100,-140,-142
100,-148,-144
93,-139,-121
79,-111,-97
90,-114,-62
103,-99,-21
98,-90,-28
92,-78,-26
85,-61,-35
78,-52,-32
71,-31,-41
58,12,-42
62,30,-62
68,50,-76
60,58,-102
63,77,-115
62,78,-114
67,85,-113
76,88,-130
82,88,-144
83,92,-144
75,95,-151
77,95,-151
82,86,-138
82,82,-142
75,89,-143
76,86,-128
87,97,-85
90,82,-96
77,87,-93
85,81,-61
85,79,-69
79,81,-57
83,67,-65
